subject,relabeled,stimulus,MAV,MAV_STD,IAV,IAV_STD,RMS,RMS_STD,WL,WL_STD,SSC,SSC_STD,VAR,VAR_STD,CoV,TD,TD_STD,MAVS,MAVS_STD,MNP,MNP_STD,MNF,MNF_STD,mDWT,mDWT_STD
s1,0,0,0.026719880340287924,0.012115476583704196,0.026719880340287952,0.012115476583704196,0.026707528776002146,0.012115476583704196,0.011986207062819974,0.06728289788542921,0.6249792591971989,0.6451673985248437,0.002475824902724666,0.012115476583704196,0.05712541960465596,0.011986207062819974,0.06728289788542921,0.01198620706281997,0.06728289788542921,0.003921920654025772,0.0013385113101475315,0.06867072263408647,0.06513715429205064,0.026712054686059777,0.026713669409752117
s3,0,0,0.07189892292916157,0.02321902630910945,0.07189892292916154,0.02321902630910945,0.07185728420786779,0.02321902630910945,0.02332129655865495,0.11672417966104338,0.615717269382479,0.6295542109526612,0.003294347254019164,0.02321902630910945,0.05333528991465718,0.02332129655865495,0.11672417966104338,0.02332129655865494,0.11672417966104338,0.013278834781772398,0.004338372417220002,0.06398779013011677,0.06842419004562197,0.07189715921933335,0.071904586762013
s4,0,0,0.05277488932534831,0.014606902417432267,0.05277488932534831,0.014606902417432267,0.05273282016214968,0.014606902417432267,0.014888763342430719,0.019382226590421228,0.6398991571227338,0.6599004049146505,0.0008475175125484545,0.014606902417432267,0.0303272150993472,0.014888763342430719,0.019382226590421228,0.014888763342430715,0.019382226590421228,0.007791335709038451,0.002348578049588837,0.03945890009224143,0.03644945904158947,0.0527559222454351,0.052773673652071806
s5,0,0,0.01592393376484623,0.007382940646555175,0.01592393376484623,0.007382940646555175,0.015909501052644534,0.007402604708178051,0.0076330415020490795,0.0,0.7173745440611622,0.7461420740900325,0.0008066548373743807,0.007402604708178051,0.019469805170173618,0.0076330415020490795,0.0,0.007633041502049083,0.0,0.00283520352097065,0.0009932772744501387,0.04082636987368757,0.03464545456344634,0.01591050235769173,0.015918699823118138
s6,0,0,0.13427950194536142,0.02080656788110824,0.13427950194536142,0.02080656788110824,0.1341825692747607,0.02080656788110824,0.020546623845490924,0.09414392691756056,0.6384436682188196,0.6531075177562738,0.0042819416100125605,0.02080656788110824,0.005938616954599643,0.020546623845490924,0.09414392691756056,0.020546623845490927,0.09414392691756056,0.027207896131577376,0.0057416753747194255,0.009229810652411657,0.010104549421306813,0.13423270298880657,0.1342724951443017
s7,0,0,0.024090530079932462,0.011896660974118782,0.02409053007993249,0.011896660974118782,0.024079610099924723,0.011900254765769717,0.012005094691318694,0.020430366963659477,0.6170250301432937,0.6381923841332063,0.002015018451026747,0.011900254765769717,0.051231779900504995,0.012005094691318694,0.020430366963659477,0.012005094691318698,0.020430366963659477,0.008189716039965789,0.0022255333893066477,0.10499284504763018,0.09787357644442365,0.024086394421678287,0.024093744443661747
s8,0,0,0.014400865059005466,0.009744583423620216,0.014400865059005466,0.009744583423620216,0.014391483972848798,0.009744583423620216,0.010041843367531663,0.011995895801055104,0.6877077873657339,0.7092307514909656,0.0,0.009744583423620216,0.08417375788959981,0.010041843367531663,0.011995895801055104,0.010041843367531667,0.011995895801055104,0.004441205064813087,0.0004929846807248985,0.10023733811389862,0.09276890383186187,0.014395437367872493,0.014399679908389612
s9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02890002194931507,0.6917574604566138,0.719482900711481,0.0016430837787841887,0.0,0.0020710179772855664,0.0,0.02890002194931507,0.0,0.02890002194931507,0.0,0.0,0.001969764793327722,0.0,0.0,0.0
s10,22,5,0.3522580104543232,0.18717993418365914,0.35225801045432314,0.18717993418365914,0.35210692040809055,0.18717993418365914,0.18537620173171024,0.5863982928461854,0.4218520333170014,0.4100129714788999,0.043379485482685734,0.18717993418365914,0.22970527663485563,0.18537620173171024,0.5863982928461854,0.1853762017317102,0.5863982928461854,0.11132404015155299,0.06352027922448951,0.268959892033633,0.27837722718268393,0.3522884895066256,0.3522831335348443
s2,22,5,0.3222015632790151,0.18964333371076864,0.32220156327901506,0.18964333371076864,0.32204081843702365,0.18964333371076864,0.1867720749431663,0.34278349813470593,0.2982323898541438,0.11890069609829768,0.035220711301148615,0.18964333371076864,0.23619565918295954,0.1867720749431663,0.34278349813470593,0.18677207494316633,0.34278349813470593,0.10300166283080282,0.06597349302756235,0.28144957971085177,0.29942523569184465,0.32217935008180865,0.3222043851318353
s5,22,5,0.24568472309667383,0.17557499029416462,0.24568472309667377,0.17557499029416462,0.24558883471656112,0.17557499029416462,0.1752724341378691,0.18973241526986845,0.12301942411959776,0.12820237104829602,0.03142695622028167,0.17557499029416462,0.28505361818575886,0.1752724341378691,0.18973241526986845,0.17527243413786908,0.18973241526986845,0.07277850460368508,0.05197759977901606,0.33586608277967905,0.3465847475149914,0.24569364114506279,0.24571055397618163
s8,22,5,0.1791153207768918,0.1615286153201994,0.17911532077689168,0.1615286153201994,0.17915987620355428,0.1615286153201994,0.1581626305447383,0.5163543347419758,0.555773313735097,0.5380606650496206,0.03221772196473512,0.1615286153201994,0.41307618372446336,0.1581626305447383,0.5163543347419758,0.15816263054473828,0.5163543347419758,0.04660004948347563,0.03824074589789704,0.42993464265318554,0.49190423229502506,0.1791358515019201,0.17909164016314894
s10,23,6,0.28710101512422415,0.11185036694120924,0.28710101512422415,0.11185036694120924,0.2869214565665285,0.11185036694120924,0.10992518971164124,0.27628089006040696,0.555773313735097,0.5791886695627694,0.018054000021471363,0.11185036694120924,0.12817206840429574,0.10992518971164124,0.27628089006040696,0.10992518971164124,0.27628089006040696,0.07712795356139049,0.034138849274787386,0.15736194428868455,0.15793777010977533,0.28703064663141387,0.2870749752939097
s2,23,6,0.24205942422056026,0.1117575901619235,0.24205942422056026,0.1117575901619235,0.24193536080179479,0.1117575901619235,0.11039068040913834,0.3409924416954867,0.9165612408316085,0.9551769984823156,0.01664915282550296,0.1117575901619235,0.181431986629147,0.11039068040913834,0.3409924416954867,0.11039068040913834,0.3409924416954867,0.06311314747626434,0.02925702104754257,0.21096209145753209,0.23708169805414814,0.24201795916383992,0.2420354209579576
s3,23,6,0.16961316166493534,0.07179703914644324,0.16961316166493529,0.07179703914644324,0.1695031071712153,0.07179703914644324,0.07145788245200213,0.09068283903118522,0.5967624127548835,0.5945583606009676,0.009088855975637028,0.07179703914644324,0.12266184173913112,0.07145788245200213,0.09068283903118522,0.0714578824520021,0.09068283903118522,0.048350259752863584,0.0219197726875565,0.14830531242632977,0.15522839719961928,0.16961615754555034,0.16965291331478183
s4,23,6,0.10690698828997684,0.04901828985675337,0.10690698828997684,0.04901828985675337,0.10683597654343456,0.04901828985675337,0.048350713331758444,0.1693265974050826,0.502204801567859,0.4575584484079701,0.002600551640374545,0.04901828985675337,0.13081368442793934,0.048350713331758444,0.1693265974050826,0.048350713331758444,0.1693265974050826,0.017693199831066424,0.007250830439981376,0.1594522658584882,0.17404389417228627,0.10692105609411207,0.1069325924516191
s5,23,6,0.22892614172361342,0.11256701297285703,0.2289261417236133,0.11256701297285703,0.22881518320851352,0.11256701297285703,0.11352695269919981,0.47621977627047357,0.7124897057137197,0.5587442752676809,0.016168277837464717,0.11256701297285703,0.2036077389602548,0.11352695269919981,0.47621977627047357,0.11352695269919978,0.47621977627047357,0.055712997307687494,0.026468188126473516,0.2394525644429264,0.26665543324417623,0.22881805230146188,0.2287944766324923
s8,23,6,0.10300722892257953,0.0661670659866102,0.1030072289225795,0.0661670659866102,0.10295781210616935,0.0661670659866102,0.06549851699959632,0.1406595339456468,0.0,0.0,0.004084195165041283,0.0661670659866102,0.22905277842531357,0.06549851699959632,0.1406595339456468,0.0654985169995963,0.1406595339456468,0.017997482338309313,0.009241567036692372,0.26635195810331924,0.2914849568500359,0.10301433450963063,0.1030175378095819
s1,26,9,0.14096677628541554,0.08994390097101554,0.14096677628541548,0.08994390097101554,0.1409109259279801,0.08994390097101554,0.09029415305743187,0.5171185326149919,0.896333311902381,0.7856074563592302,0.010600539789203634,0.08994390097101554,0.2058504411527961,0.09029415305743187,0.5171185326149919,0.09029415305743188,0.5171185326149919,0.029836968804233012,0.018686683547650254,0.24474536756974014,0.3163227120225269,0.14101244731222198,0.14096512501955755
s10,26,9,0.19869979933347737,0.08364002430636308,0.19869979933347726,0.08364002430636308,0.19859308910693663,0.08364002430636308,0.0831481491667702,0.49592795710566956,0.8863914747672706,0.8967458932234459,0.01522369863750165,0.08364002430636308,0.12912753413859607,0.0831481491667702,0.49592795710566956,0.08314814916677017,0.49592795710566956,0.04617585571071323,0.02097616612739509,0.15763326601544747,0.17958903354743988,0.19881470886830346,0.19879860196133997
